year,ignore,temperature,percentile,scenario,color_val
1940.04,,0.163,17,grey,"rgb(100,100,100)"
1941.04,,0.166,17,grey,"rgb(100,100,100)"
1942.04,,0.169,17,grey,"rgb(100,100,100)"
1943.04,,0.172,17,grey,"rgb(100,100,100)"
1944.04,,0.175,17,grey,"rgb(100,100,100)"
1945.04,,0.177,17,grey,"rgb(100,100,100)"
1946.04,,0.178,17,grey,"rgb(100,100,100)"
1947.04,,0.18,17,grey,"rgb(100,100,100)"
1948.04,,0.181,17,grey,"rgb(100,100,100)"
1949.04,,0.182,17,grey,"rgb(100,100,100)"
1950.04,,0.183,17,grey,"rgb(100,100,100)"
1951.04,,0.185,17,grey,"rgb(100,100,100)"
1952.04,,0.186,17,grey,"rgb(100,100,100)"
1953.04,,0.188,17,grey,"rgb(100,100,100)"
1954.04,,0.19,17,grey,"rgb(100,100,100)"
1955.04,,0.192,17,grey,"rgb(100,100,100)"
1956.04,,0.194,17,grey,"rgb(100,100,100)"
1957.04,,0.196,17,grey,"rgb(100,100,100)"
1958.04,,0.198,17,grey,"rgb(100,100,100)"
1959.04,,0.201,17,grey,"rgb(100,100,100)"
1960.04,,0.204,17,grey,"rgb(100,100,100)"
1961.04,,0.207,17,grey,"rgb(100,100,100)"
1962.04,,0.209,17,grey,"rgb(100,100,100)"
1963.04,,0.212,17,grey,"rgb(100,100,100)"
1964.04,,0.215,17,grey,"rgb(100,100,100)"
1965.04,,0.218,17,grey,"rgb(100,100,100)"
1966.04,,0.222,17,grey,"rgb(100,100,100)"
1967.04,,0.226,17,grey,"rgb(100,100,100)"
1968.04,,0.231,17,grey,"rgb(100,100,100)"
1969.04,,0.236,17,grey,"rgb(100,100,100)"
1970.04,,0.242,17,grey,"rgb(100,100,100)"
1971.04,,0.248,17,grey,"rgb(100,100,100)"
1972.04,,0.256,17,grey,"rgb(100,100,100)"
1973.04,,0.265,17,grey,"rgb(100,100,100)"
1974.04,,0.275,17,grey,"rgb(100,100,100)"
1975.04,,0.285,17,grey,"rgb(100,100,100)"
1976.04,,0.297,17,grey,"rgb(100,100,100)"
1977.04,,0.309,17,grey,"rgb(100,100,100)"
1978.04,,0.323,17,grey,"rgb(100,100,100)"
1979.04,,0.336,17,grey,"rgb(100,100,100)"
1980.04,,0.351,17,grey,"rgb(100,100,100)"
1981.04,,0.365,17,grey,"rgb(100,100,100)"
1982.04,,0.379,17,grey,"rgb(100,100,100)"
1983.04,,0.392,17,grey,"rgb(100,100,100)"
1984.04,,0.405,17,grey,"rgb(100,100,100)"
1985.04,,0.418,17,grey,"rgb(100,100,100)"
1986.04,,0.431,17,grey,"rgb(100,100,100)"
1987.04,,0.444,17,grey,"rgb(100,100,100)"
1988.04,,0.457,17,grey,"rgb(100,100,100)"
1989.04,,0.47,17,grey,"rgb(100,100,100)"
1990.04,,0.483,17,grey,"rgb(100,100,100)"
1991.04,,0.495,17,grey,"rgb(100,100,100)"
1992.04,,0.507,17,grey,"rgb(100,100,100)"
1993.04,,0.517,17,grey,"rgb(100,100,100)"
1994.04,,0.527,17,grey,"rgb(100,100,100)"
1995.04,,0.537,17,grey,"rgb(100,100,100)"
1996.04,,0.546,17,grey,"rgb(100,100,100)"
